_id,max_value,count
"{'city': 'Nisekh', 'hour': '2016-02-18 20'}",2043.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 19'}",2041.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 08'}",2040.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 18'}",2037.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 00'}",2025.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 23'}",2022.0,4
"{'city': 'MNB', 'hour': '2016-02-03 23'}",2021.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 19'}",2010.0,2
"{'city': 'Amgalan', 'hour': '2016-02-03 02'}",2002.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 16'}",2000.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 19'}",2000.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 06'}",2000.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 04'}",2000.0,1
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-07 13'}",2000.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-08 13'}",2000.0,3
"{'city': 'MNB', 'hour': '2016-02-04 14'}",1988.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 19'}",1974.0,2
"{'city': '100 ail', 'hour': '2016-01-30 10'}",1967.0,4
"{'city': 'MNB', 'hour': '2016-02-04 02'}",1966.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 21'}",1960.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 22'}",1959.0,2
"{'city': '100 ail', 'hour': '2016-01-30 11'}",1959.0,4
"{'city': 'Amgalan', 'hour': '2016-01-30 11'}",1958.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 18'}",1946.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 01'}",1939.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 06'}",1929.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 00'}",1914.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 02'}",1900.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 03'}",1900.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-05 23'}",1900.0,6
"{'city': 'Bukhiin urguu', 'hour': '2016-02-01 11'}",1900.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 20'}",1900.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-05 22'}",1900.0,5
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 21'}",1900.0,3
"{'city': 'Amgalan', 'hour': '2016-02-03 03'}",1898.0,1
"{'city': 'MNB', 'hour': '2016-02-02 04'}",1886.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 09'}",1883.0,4
"{'city': 'Nisekh', 'hour': '2016-02-17 15'}",1876.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-02-01 22'}",1875.0,2
"{'city': 'MNB', 'hour': '2016-02-01 09'}",1862.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 16'}",1858.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 22'}",1857.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 10'}",1850.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 08'}",1850.0,4
"{'city': 'Amgalan', 'hour': '2016-01-31 09'}",1847.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-01-30 00'}",1825.0,4
"{'city': 'MNB', 'hour': '2016-02-02 08'}",1803.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 22'}",1800.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 23'}",1800.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 00'}",1800.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-09 04'}",1800.0,1
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-09 00'}",1800.0,2
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-07 14'}",1800.0,3
"{'city': 'Amgalan', 'hour': '2016-02-01 01'}",1791.0,2
"{'city': '100 ail', 'hour': '2016-02-01 09'}",1763.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 20'}",1754.0,4
"{'city': 'Amgalan', 'hour': '2016-02-02 07'}",1749.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-31 00'}",1738.0,4
"{'city': 'Amgalan', 'hour': '2016-02-02 08'}",1737.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 22'}",1737.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 14'}",1735.0,2
"{'city': 'MNB', 'hour': '2016-02-01 08'}",1719.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 05'}",1716.0,4
"{'city': 'MNB', 'hour': '2016-02-02 05'}",1716.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 02'}",1700.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 22'}",1700.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 07'}",1700.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-06 22'}",1700.0,3
"{'city': 'Baruun 4 zam', 'hour': '2016-01-29 23'}",1700.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 23'}",1700.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 21'}",1700.0,3
"{'city': 'Nisekh', 'hour': '2016-02-18 12'}",1698.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 02'}",1692.0,2
"{'city': 'MNB', 'hour': '2016-02-01 03'}",1692.0,2
"{'city': 'MNB', 'hour': '2016-02-04 01'}",1689.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 03'}",1674.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 14'}",1660.0,2
"{'city': 'MNB', 'hour': '2016-02-04 03'}",1659.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 02'}",1636.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 23'}",1636.0,2
"{'city': 'MNB', 'hour': '2016-01-30 01'}",1634.0,2
"{'city': 'MNB', 'hour': '2016-02-01 05'}",1633.0,2
"{'city': 'Nisekh', 'hour': '2016-02-19 19'}",1622.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 21'}",1609.0,2
"{'city': 'MNB', 'hour': '2016-02-03 05'}",1603.0,2
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-07 02'}",1600.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 12'}",1600.0,3
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 05'}",1600.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 18'}",1600.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-07 03'}",1600.0,3
