city,hour,max_value,count
Nisekh,2016-02-17T21:00:00Z,1960.0,2
Amgalan,2016-02-01T22:00:00Z,1959.0,2
100 ail,2016-01-30T11:00:00Z,1959.0,4
Amgalan,2016-01-30T11:00:00Z,1958.0,2
Nisekh,2016-02-18T18:00:00Z,1946.0,2
Nisekh,2016-02-18T01:00:00Z,1939.0,2
Amgalan,2016-02-02T06:00:00Z,1929.0,2
Nisekh,2016-02-17T00:00:00Z,1914.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-05T22:00:00Z,1900.0,5
Bukhiin urguu,2016-02-01T11:00:00Z,1900.0,4
R K Puram, Delhi - DPCC,2016-02-07T21:00:00Z,1900.0,3
R K Puram, Delhi - DPCC,2016-02-07T03:00:00Z,1900.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-05T23:00:00Z,1900.0,6
R K Puram, Delhi - DPCC,2016-02-08T02:00:00Z,1900.0,3
R K Puram, Delhi - DPCC,2016-02-07T20:00:00Z,1900.0,3
Amgalan,2016-02-03T03:00:00Z,1898.0,1
MNB,2016-02-02T04:00:00Z,1886.0,2
Baruun 4 zam,2016-02-01T09:00:00Z,1883.0,4
Nisekh,2016-02-17T15:00:00Z,1876.0,2
Bukhiin urguu,2016-02-01T22:00:00Z,1875.0,2
MNB,2016-02-01T09:00:00Z,1862.0,2
Nisekh,2016-02-17T16:00:00Z,1858.0,2
Nisekh,2016-02-16T22:00:00Z,1857.0,2
Baruun 4 zam,2016-02-01T08:00:00Z,1850.0,4
Amgalan,2016-02-01T10:00:00Z,1850.0,2
Amgalan,2016-01-31T09:00:00Z,1847.0,2
Bukhiin urguu,2016-01-30T00:00:00Z,1825.0,4
MNB,2016-02-02T08:00:00Z,1803.0,2
R K Puram, Delhi - DPCC,2016-02-09T00:00:00Z,1800.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-07T14:00:00Z,1800.0,3
R K Puram, Delhi - DPCC,2016-02-07T22:00:00Z,1800.0,3
R K Puram, Delhi - DPCC,2016-02-08T00:00:00Z,1800.0,3
R K Puram, Delhi - DPCC,2016-02-09T04:00:00Z,1800.0,1
R K Puram, Delhi - DPCC,2016-02-07T23:00:00Z,1800.0,3
Amgalan,2016-02-01T01:00:00Z,1791.0,2
100 ail,2016-02-01T09:00:00Z,1763.0,4
Baruun 4 zam,2016-01-30T20:00:00Z,1754.0,4
Amgalan,2016-02-02T07:00:00Z,1749.0,2
Baruun 4 zam,2016-01-31T00:00:00Z,1738.0,4
Amgalan,2016-02-02T08:00:00Z,1737.0,2
Nisekh,2016-02-17T22:00:00Z,1737.0,2
Nisekh,2016-02-17T14:00:00Z,1735.0,2
MNB,2016-02-01T08:00:00Z,1719.0,2
MNB,2016-02-02T05:00:00Z,1716.0,2
Baruun 4 zam,2016-02-01T05:00:00Z,1716.0,4
R K Puram, Delhi - DPCC,2016-02-07T07:00:00Z,1700.0,3
R K Puram, Delhi - DPCC,2016-02-08T21:00:00Z,1700.0,3
R K Puram, Delhi - DPCC,2016-02-06T22:00:00Z,1700.0,3
R K Puram, Delhi - DPCC,2016-02-07T02:00:00Z,1700.0,3
R K Puram, Delhi - DPCC,2016-02-08T23:00:00Z,1700.0,2
Baruun 4 zam,2016-01-29T23:00:00Z,1700.0,3
R K Puram, Delhi - DPCC,2016-02-08T22:00:00Z,1700.0,3
Nisekh,2016-02-18T12:00:00Z,1698.0,2
MNB,2016-02-01T03:00:00Z,1692.0,2
Amgalan,2016-02-02T02:00:00Z,1692.0,2
MNB,2016-02-04T01:00:00Z,1689.0,2
Amgalan,2016-01-31T03:00:00Z,1674.0,2
Nisekh,2016-02-18T14:00:00Z,1660.0,2
MNB,2016-02-04T03:00:00Z,1659.0,2
Nisekh,2016-02-17T23:00:00Z,1636.0,2
Nisekh,2016-02-18T02:00:00Z,1636.0,2
MNB,2016-01-30T01:00:00Z,1634.0,2
MNB,2016-02-01T05:00:00Z,1633.0,2
Nisekh,2016-02-19T19:00:00Z,1622.0,2
Amgalan,2016-02-01T21:00:00Z,1609.0,2
MNB,2016-02-03T05:00:00Z,1603.0,2
Baruun 4 zam,2016-01-30T05:00:00Z,1600.0,4
Punjabi Bagh, Delhi - DPCC,2016-02-06T19:00:00Z,1600.0,3
R K Puram, Delhi - DPCC,2016-02-09T05:00:00Z,1600.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-08T01:00:00Z,1600.0,3
R K Puram, Delhi - DPCC,2016-02-07T18:00:00Z,1600.0,3
R K Puram, Delhi - DPCC,2016-02-07T12:00:00Z,1600.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-07T02:00:00Z,1600.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-07T03:00:00Z,1600.0,3
R K Puram, Delhi - DPCC,2016-02-07T08:00:00Z,1600.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-07T05:00:00Z,1600.0,3
Nisekh,2016-02-19T23:00:00Z,1593.0,2
Nisekh,2016-02-16T11:00:00Z,1591.0,2
Bukhiin urguu,2016-01-30T17:00:00Z,1588.0,4
Bukhiin urguu,2016-01-31T02:00:00Z,1578.0,4
MNB,2016-02-03T10:00:00Z,1566.0,2
MNB,2016-02-02T06:00:00Z,1552.0,2
Baruun 4 zam,2016-02-01T06:00:00Z,1534.0,4
100 ail,2016-02-01T08:00:00Z,1525.0,4
R K Puram, Delhi - DPCC,2016-02-08T12:00:00Z,1500.0,3
R K Puram, Delhi - DPCC,2016-02-09T03:00:00Z,1500.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-07T12:00:00Z,1500.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T16:00:00Z,1500.0,3
R K Puram, Delhi - DPCC,2016-02-07T01:00:00Z,1500.0,3
R K Puram, Delhi - DPCC,2016-02-08T04:00:00Z,1500.0,1
R K Puram, Delhi - DPCC,2016-02-07T00:00:00Z,1500.0,3
100 ail,2016-01-30T09:00:00Z,1500.0,4
Punjabi Bagh, Delhi - DPCC,2016-02-07T04:00:00Z,1500.0,1
Nisekh,2016-02-18T15:00:00Z,1497.0,2
Bukhiin urguu,2016-02-01T15:00:00Z,1475.0,4
Baruun 4 zam,2016-01-30T06:00:00Z,1469.0,4
Bukhiin urguu,2016-01-30T18:00:00Z,1466.0,4
Baruun 4 zam,2016-01-30T11:00:00Z,1463.0,4
100 ail,2016-02-01T04:00:00Z,1452.0,8
MNB,2016-01-30T02:00:00Z,1446.0,2
Nisekh,2016-02-20T03:00:00Z,1437.0,2
MNB,2016-02-01T04:00:00Z,1436.0,2
100 ail,2016-01-31T04:00:00Z,1419.0,2
Nisekh,2016-02-17T10:00:00Z,1412.0,2
Nisekh,2016-02-20T02:00:00Z,1408.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-08T02:00:00Z,1400.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T00:00:00Z,1400.0,6
